;;Koppeling met bestandsnaam:;;006_AR.MP4;;;Proefpersoon;P006;
Start Frame (sec.);Einde Frame (sec.);;Activiteit;Label;Extra kolom;;Filmnummer;006_AR;
0:00:00;0:00:05;0;niet bruikbaar;1;;;Naam onderzoeker;MG;
0:00:05;0:00:10;5;niet bruikbaar;1;;;Naam tweede onderzoeker;DR;
0:00:10;0:00:15;10;niet bruikbaar;1;;;;;
0:00:15;0:00:20;15;niet bruikbaar;1;;;;Label;
0:00:20;0:00:25;20;niet bruikbaar;1;;;Flippen sensor;0;
0:00:25;0:00:30;25;niet bruikbaar;1;;;X (Niet bruikbare frames (omdoen sensor, te korte opname etc);1;
0:00:30;0:00:35;30;niet bruikbaar;1;;;Zitten (in rolstoel);2;
0:00:35;0:00:40;35;niet bruikbaar;1;;;Activiteit aan tafel;3;
0:00:40;0:00:45;40;niet bruikbaar;1;;;Stilstaan;4;
0:00:45;0:00:50;45;flippen sensor;0;47;;Lopen;5;
0:00:50;0:00:55;50;flippen sensor;0;54;;Lopen met bochten;6;
0:00:55;0:01:00;55;niet bruikbaar;1;;;Rennen;7;
0:01:00;0:01:05;60;niet bruikbaar;1;;;Rennen met bochten;8;
0:01:05;0:01:10;65;niet bruikbaar;1;;;Liggen;9;
0:01:10;0:01:15;70;niet bruikbaar;1;;;Kruipen;10;
0:01:15;0:01:20;75;niet bruikbaar;1;;;Op de knieen lopen;33;
0:01:20;0:01:25;80;niet bruikbaar;1;;;Tijgeren;12;
0:01:25;0:01:30;85;niet bruikbaar;1;;;Billenschuiven;13;
0:01:30;0:01:35;90;niet bruikbaar;1;;;Geduwd worden in een rolstoel/buggy (incl. alle snelheden, binnenshuis, buitenshuis, met bochten, rechtdoor);14;
0:01:35;0:01:40;95;niet bruikbaar;1;;;Gedragen worden;15;
0:01:40;0:01:45;100;niet bruikbaar;1;;;In een rijdende auto zitten;16;
0:01:45;0:01:50;105;niet bruikbaar;1;;;Achterop de fiets zitten;17;
0:01:50;0:01:55;110;niet bruikbaar;1;;;Springen op de plek;18;
0:01:55;0:02:00;115;niet bruikbaar;1;;;Voorwaarts springen;19;
0:02:00;0:02:05;120;niet bruikbaar;1;;;Trap op lopen;20;
0:02:05;0:02:10;125;niet bruikbaar;1;;;Trap af lopen;21;
0:02:10;0:02:15;130;niet bruikbaar;1;;;Trap op/af lopen;22;
0:02:15;0:02:20;135;niet bruikbaar;1;;;Fietsen;23;
0:02:20;0:02:25;140;niet bruikbaar;1;;;Geduwd worden met grote armbewegingen;24;
0:02:25;0:02:30;145;niet bruikbaar;1;;;Handbiken;25;
0:02:30;0:02:35;150;niet bruikbaar;1;;;Racerunnen;26;
0:02:35;0:02:40;155;niet bruikbaar;1;;;Manoeuvreren;27;
0:02:40;0:02:45;160;niet bruikbaar;1;;;Sport en spel;28;
0:02:45;0:02:50;165;niet bruikbaar;1;;;Zelf rijden langzaam (binnenshuis, buitenshuis, rechtdoor, met bochten);29;
0:02:50;0:02:55;170;zitten;2;;;Zelf rijden normaal (binnenshuis, buitenshuis, rechtdoor, met bochten);30;
0:02:55;0:03:00;175;zitten;2;;;Zelf rijden snel (binnenshuis, buitenshuis, rechtdoor, met bochten);31;
0:03:00;0:03:05;180;zitten;2;;;;;
0:03:05;0:03:10;185;zitten;2;;;;;
0:03:10;0:03:15;190;Activiteit aan tafel;3;;;;;
0:03:15;0:03:20;195;Activiteit aan tafel;3;;;;;
0:03:20;0:03:25;200;Activiteit aan tafel;3;;;;;
0:03:25;0:03:30;205;Activiteit aan tafel;3;;;;;
0:03:30;0:03:35;210;Activiteit aan tafel;3;;;;;
0:03:35;0:03:40;215;Activiteit aan tafel;3;;;;;
0:03:40;0:03:45;220;Activiteit aan tafel;3;;;;;
0:03:45;0:03:50;225;Activiteit aan tafel;3;;;;;
0:03:50;0:03:55;230;Activiteit aan tafel;3;;;;;
0:03:55;0:04:00;235;Activiteit aan tafel;3;;;;;
0:04:00;0:04:05;240;Activiteit aan tafel;3;;;;;
0:04:05;0:04:10;245;Activiteit aan tafel;3;;;;;
0:04:10;0:04:15;250;Activiteit aan tafel;3;;;;;
0:04:15;0:04:20;255;Activiteit aan tafel;3;;;;;
0:04:20;0:04:25;260;Activiteit aan tafel;3;;;;;
0:04:25;0:04:30;265;Activiteit aan tafel;3;;;;;
0:04:30;0:04:35;270;Activiteit aan tafel;3;;;;;
0:04:35;0:04:40;275;Activiteit aan tafel;3;;;;;
0:04:40;0:04:45;280;Activiteit aan tafel;3;;;;;
0:04:45;0:04:50;285;Activiteit aan tafel;3;;;;;
0:04:50;0:04:55;290;Activiteit aan tafel;3;;;;;
0:04:55;0:05:00;295;Activiteit aan tafel;3;;;;;
0:05:00;0:05:05;300;niet bruikbaar;1;;;;;
0:05:05;0:05:10;305;niet bruikbaar;1;;;;;
0:05:10;0:05:15;310;stilstaan;4;;;;;
0:05:15;0:05:20;315;stilstaan;4;;;;;
0:05:20;0:05:25;320;stilstaan;4;;;;;
0:05:25;0:05:30;325;niet bruikbaar;1;;;;;
0:05:30;0:05:35;330;lopen;5;;;;;
0:05:35;0:05:40;335;lopen;5;;;;;
0:05:40;0:05:45;340;lopen;5;;;;;
0:05:45;0:05:50;345;lopen;5;;;;;
0:05:50;0:05:55;350;lopen;5;;;;;
0:05:55;0:06:00;355;lopen;5;;;;;
0:06:00;0:06:05;360;lopen;5;;;;;
0:06:05;0:06:10;365;lopen;5;;;;;
0:06:10;0:06:15;370;lopen;5;;;;;
0:06:15;0:06:20;375;lopen;5;;;;;
0:06:20;0:06:25;380;niet bruikbaar;1;;;;;
0:06:25;0:06:30;385;niet bruikbaar;1;;;;;
0:06:30;0:06:35;390;niet bruikbaar;1;;;;;
0:06:35;0:06:40;395;niet bruikbaar;1;;;;;
0:06:40;0:06:45;400;niet bruikbaar;1;;;;;
0:06:45;0:06:50;405;lopen met bochten;6;;;;;
0:06:50;0:06:55;410;lopen met bochten;6;;;;;
0:06:55;0:07:00;415;lopen met bochten;6;;;;;
0:07:00;0:07:05;420;lopen met bochten;6;;;;;
