;;Koppeling met bestandsnaam:;;75_1.1, 75_2.1, 75_3.1;;;Proefpersoon;;75
Start Frame (sec.);Einde Frame (sec.);;Activiteit;Label;Extra kolom;;Filmnummer;;1
00:00:00;00:00:05;0;;1;;;Naam onderzoeker;;LE
00:00:05;00:00:10;5;;1;;;Naam tweede onderzoeker;;JS
00:00:10;00:00:15;10;;1;;;;;
00:00:15;00:00:20;15;;1;;;;Label;
00:00:20;00:00:25;20;;1;;;Flippen sensor;0;
00:00:25;00:00:30;25;;1;;;X (Niet bruikbare frames (omdoen sensor, te korte opname etc);1;
00:00:30;00:00:35;30;;1;;;Zitten (RS: terwijl de rolstoel stilstaat);2;
00:00:35;00:00:40;35;;1;;;Activiteit aan tafel;3;
00:00:40;00:00:45;40;;1;;;Stilstaan;4;
00:00:45;00:00:50;45;;1;;;Lopen;5;
00:00:50;00:00:55;50;;1;;;Lopen met bochten;6;
00:00:55;00:01:00;55;;1;;;Rennen;7;
00:01:00;00:01:05;60;;0;60;;Rennen met bochten;8;
00:01:05;00:01:10;65;;1;;;Liggen;9;
00:01:10;00:01:15;70;;0;71;;Kruipen;10;
00:01:15;00:01:20;75;;1;;;Tijgeren;12;
00:01:20;00:01:25;80;;1;;;Billenschuiven;13;
00:01:25;00:01:30;85;;1;;;Geduwd worden in een rolstoel/buggy (incl. alle snelheden, binnenshuis, buitenshuis, met bochten, rechtdoor);14;
00:01:30;00:01:35;90;;1;;;Gedragen worden;15;
00:01:35;00:01:40;95;;1;;;In een rijdende auto zitten;16;
00:01:40;00:01:45;100;;1;;;Achterop de fiets zitten;17;
00:01:45;00:01:50;105;;1;;;Springen op de plek;18;
00:01:50;00:01:55;110;;1;;;Voorwaarts springen;19;
00:01:55;00:02:00;115;;1;;;Trap op/af lopen;22;
00:02:00;00:02:05;120;;1;;;Fietsen;23;
00:02:05;00:02:10;125;;1;;;Geduwd worden met grote armbewegingen;24;
00:02:10;00:02:15;130;;1;;;Handbiken;25;
00:02:15;00:02:20;135;;1;;;Racerunnen;26;
00:02:20;00:02:25;140;;1;;;Manoeuvreren;27;
00:02:25;00:02:30;145;;1;;;Sport en spel;28;
00:02:30;00:02:35;150;;1;;;Zelf rijden langzaam (binnenshuis, buitenshuis, rechtdoor, met bochten);29;
00:02:35;00:02:40;155;;1;;;Zelf rijden normaal (binnenshuis, buitenshuis, rechtdoor, met bochten);30;
00:02:40;00:02:45;160;;1;;;Zelf rijden snel (binnenshuis, buitenshuis, rechtdoor, met bochten);31;
00:02:45;00:02:50;165;;1;;;Op knieën lopen;33;
00:02:50;00:02:55;170;;1;;;;;
00:02:55;00:03:00;175;;1;;;;;
00:03:00;00:03:05;180;;1;;;;;
00:03:05;00:03:10;185;;1;;;;;
00:03:10;00:03:15;190;;1;;;;;
00:03:15;00:03:20;195;;1;;;;;
00:03:20;00:03:25;200;;1;;;;;
00:03:25;00:03:30;205;;1;;;;;
00:03:30;00:03:35;210;;2;;;;;
00:03:35;00:03:40;215;;2;;;;;
00:03:40;00:03:45;220;;2;;;;;
00:03:45;00:03:50;225;;2;;;;;
00:03:50;00:03:55;230;;2;;;;;
00:03:55;00:04:00;235;;2;;;;;
00:04:00;00:04:05;240;;3;;;;;
00:04:05;00:04:10;245;;2;;;;;
00:04:10;00:04:15;250;;2;;;;;
00:04:15;00:04:20;255;;3;;;;;
00:04:20;00:04:25;260;;3;;;;;
00:04:25;00:04:30;265;;3;;;;;
00:04:30;00:04:35;270;;3;;;;;
00:04:35;00:04:40;275;;3;;;;;
00:04:40;00:04:45;280;;3;;;;;
00:04:45;00:04:50;285;;3;;;;;
00:04:50;00:04:55;290;;3;;;;;
00:04:55;00:05:00;295;;3;;;;;
00:05:00;00:05:05;300;;3;;;;;
00:05:05;00:05:10;305;;3;;;;;
00:05:10;00:05:15;310;;3;;;;;
00:05:15;00:05:20;315;;3;;;;;
00:05:20;00:05:25;320;;3;;;;;
00:05:25;00:05:30;325;;1;;;;;
00:05:30;00:05:35;330;;1;;;;;
00:05:35;00:05:40;335;;4;;;;;
00:05:40;00:05:45;340;;1;;;;;
00:05:45;00:05:50;345;;1;;;;;
00:05:50;00:05:55;350;;1;;;;;
00:05:55;00:06:00;355;;1;;;;;
00:06:00;00:06:05;360;;1;;;;;
00:06:05;00:06:10;365;;1;;;;;
00:06:10;00:06:15;370;;1;;;;;
00:06:15;00:06:20;375;;5;;;;;
00:06:20;00:06:25;380;;1;;;;;
00:06:25;00:06:30;385;;5;;;;;
00:06:30;00:06:35;390;;5;;;;;
00:06:35;00:06:40;395;;5;;;;;
00:06:40;00:06:45;400;;1;;;;;
00:06:45;00:06:50;405;;5;;;;;
00:06:50;00:06:55;410;;5;;;;;
00:06:55;00:07:00;415;;1;;;;;
00:07:00;00:07:05;420;;1;;;;;
00:07:05;00:07:10;425;;5;;;;;
00:07:10;00:07:15;430;;1;;;;;
