,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,56746,-0.05,0.04,-1.0,-2.8,1.52,1.16,1.0
1,56852,-0.06,0.04,-1.01,-2.87,1.34,1.1,1.0
2,56930,-0.05,0.04,-0.99,-2.8,1.46,1.04,1.0
3,57036,-0.06,0.04,-1.0,-2.87,1.34,1.22,1.0
4,57106,-0.06,0.04,-0.99,-2.87,1.52,1.1,1.0
5,57212,-0.06,0.05,-1.0,-2.74,1.46,1.1,1.0
6,57318,-0.06,0.05,-1.01,-2.8,1.52,1.1,1.0
7,57396,-0.06,0.05,-1.0,-2.93,1.34,1.04,1.0
8,57496,-0.05,0.05,-1.0,-2.74,1.34,1.1,1.0
9,57601,-0.05,0.05,-1.01,-2.8,1.4,1.16,1.0
10,57683,-0.06,0.05,-1.01,-2.74,1.46,1.16,1.0
11,57792,-0.06,0.05,-1.0,-2.8,1.34,1.16,1.0
12,57865,-0.07,0.05,-0.99,-2.93,1.34,1.22,1.0
13,57974,-0.06,0.05,-0.99,-2.74,1.46,1.16,1.0
14,58083,-0.05,0.04,-0.99,-2.68,1.59,1.04,1.0
15,58165,-0.07,0.05,-0.99,-2.93,-0.24,1.22,1.0
16,58265,-0.07,0.04,-1.0,-2.13,1.59,1.1,1.0
17,58374,-0.06,0.05,-1.0,-3.6,1.95,1.34,1.0
18,58456,-0.05,0.04,-0.98,-2.26,1.95,1.1,1.0
19,58566,-0.06,0.05,-1.0,-3.29,0.73,1.1,1.0
20,58638,-0.06,0.05,-1.0,-2.2,1.16,1.22,1.0
21,58748,-0.06,0.05,-1.0,-3.41,1.28,1.04,1.0
22,58854,-0.06,0.04,-1.0,-2.38,1.77,1.04,1.0
23,58935,-0.05,0.04,-0.99,-3.05,1.4,1.16,1.0
24,59036,-0.06,0.05,-1.0,-2.62,1.16,1.04,1.0
25,59145,-0.05,0.04,-1.01,-2.93,1.46,1.16,1.0
26,59227,-0.06,0.05,-0.98,-2.87,1.59,1.22,1.0
27,59402,-0.05,0.04,-1.0,-2.87,1.28,1.16,1.0
28,59482,-0.06,0.05,-1.0,-2.74,1.46,1.16,1.0
29,59589,-0.06,0.06,-0.99,-2.87,1.28,1.16,1.0
30,59695,-0.05,0.05,-1.0,-2.74,1.4,1.34,1.0
31,59773,-0.06,0.05,-1.01,-2.87,1.4,1.16,1.0
32,59870,-0.06,0.05,-1.01,-2.87,1.46,1.1,1.0
33,59976,-0.06,0.04,-1.0,-2.8,1.46,1.16,1.0
34,60054,-0.06,0.05,-1.0,-2.74,1.34,1.04,1.0
35,60160,-0.06,0.05,-1.0,-2.8,1.4,1.22,1.0
36,60229,-0.05,0.04,-1.0,-2.8,1.59,1.16,1.0
37,60332,-0.03,-0.2,-0.72,-2.99,-0.49,2.68,1.0
38,60439,-0.03,-0.31,-1.15,7.87,-17.26,19.51,1.0
39,60519,-0.03,0.42,-1.57,-20.73,-26.28,-64.51,1.0
40,60618,-0.21,-0.25,-0.47,422.56,-298.11,-288.29,1.0
41,60735,-0.37,-0.65,-0.82,-97.68,23.41,113.41,1.0
42,60814,-0.08,-0.89,-0.57,258.23,92.68,-192.87,1.0
43,60922,0.03,-0.83,-0.57,-6.4,-34.09,-52.26,1.0
44,60993,-0.12,-0.57,-0.51,-5.73,-51.77,139.21,1.0
45,61100,-0.39,-0.95,-0.72,2.13,15.67,24.15,1.0
46,61207,0.06,-0.82,-0.52,-24.76,28.23,-38.84,1.0
47,61288,-0.23,-1.11,-0.93,-35.3,113.78,-117.2,1.0
48,61388,-0.05,-0.86,-0.8,27.2,102.32,-275.85,1.0
49,61497,-0.18,-1.62,-1.17,15.24,-181.22,150.85,1.0
50,61581,0.34,-0.22,-0.58,-64.39,-75.73,-165.55,1.0
51,61693,0.44,-0.57,-1.4,-43.54,13.23,-63.41,1.0
52,61795,0.2,-0.11,-0.62,-30.3,-28.9,-91.4,1.0
53,61878,-1.98,0.4,-3.73,32.93,-116.52,-26.52,1.0
54,62002,0.73,-0.5,-1.32,2.01,-197.8,148.78,1.0
55,62114,0.53,0.03,-0.43,34.88,-56.89,102.07,1.0
56,62188,-0.87,-0.29,-0.44,-33.84,1.77,16.4,1.0
57,62300,-1.34,-1.02,-1.25,40.06,-50.37,124.7,1.0
58,62411,-2.07,-0.61,-1.73,45.06,-14.57,74.39,1.0
59,62495,0.33,-0.58,-0.72,3.9,194.09,-177.8,1.0
60,62594,-1.02,-0.69,-2.18,-60.61,-62.62,102.99,1.0
61,62706,0.3,-0.32,-0.15,-37.2,-111.46,258.48,1.0
62,62790,-2.16,-0.07,-1.28,-162.44,-406.59,473.72,1.0
63,62902,-0.6,-0.19,-0.64,-17.38,5.43,-238.35,1.0
64,63005,-0.19,-0.44,-0.68,-20.67,14.45,-175.43,1.0
65,63088,0.34,-0.19,-0.34,-53.48,-23.96,-120.18,1.0
66,63264,0.19,-0.52,-1.02,0.79,-97.07,-32.44,1.0
67,63388,-0.13,-0.46,-0.72,4.09,-88.9,8.72,1.0
68,63459,-0.37,-0.24,-0.52,-0.43,-86.16,-38.05,1.0
69,63589,-0.57,-0.16,-0.73,-39.7,-86.4,-75.12,1.0
70,63697,-0.37,-0.41,-0.62,-4.94,-33.6,-54.76,1.0
71,63777,-0.46,-0.52,-0.76,12.56,-21.89,-37.8,1.0
72,63876,-0.58,-0.58,-0.78,-5.49,-28.78,10.73,1.0
73,63984,-0.36,-0.49,-0.59,4.21,4.7,-12.68,1.0
74,64064,-0.54,-0.66,-0.76,8.17,12.74,-35.98,1.0
75,64171,-0.17,-0.52,-0.46,-2.13,29.82,-31.46,1.0
76,64242,-0.29,-0.65,-0.7,3.72,0.98,-16.28,1.0
77,64349,-0.25,-0.65,-0.57,-3.66,5.61,-12.68,1.0
78,64457,-0.14,-0.64,-0.7,-6.52,22.87,-13.05,1.0
79,64527,-0.37,-0.74,-0.68,0.18,0.18,6.83,1.0
80,64633,-0.21,-0.71,-0.75,-6.28,17.38,8.29,1.0
81,64737,-0.23,-0.67,-0.62,12.26,15.98,6.1,1.0
82,64818,-0.28,-0.66,-0.68,3.35,3.9,3.54,1.0
83,64917,-0.25,-0.67,-0.79,-6.46,10.12,10.06,1.0
84,65000,-0.16,-0.63,-0.55,-1.22,-13.6,6.1,1.0
85,65110,-0.26,-0.67,-0.67,-4.33,3.29,-3.17,1.0
86,65220,-0.3,-0.68,-0.74,-2.8,1.28,1.65,1.0
87,65294,-0.21,-0.66,-0.61,-4.82,3.29,12.2,1.0
88,65404,-0.18,-0.61,-0.68,-2.13,10.98,-10.3,1.0
89,65514,-0.22,-0.67,-0.72,-5.91,11.22,-14.88,1.0
90,65597,-0.12,-0.64,-0.66,-1.46,11.77,-2.62,1.0
91,65698,-0.32,-0.72,-0.71,-2.5,17.13,-11.71,1.0
92,65781,-0.18,-0.69,-0.68,-4.15,13.66,-37.68,1.0
93,65900,-0.03,-0.85,-0.73,-5.55,13.78,-9.02,1.0
94,66011,-0.15,-0.7,-0.63,-2.87,16.16,11.52,1.0
95,66084,-0.03,-0.63,-0.65,-32.56,23.78,-39.15,1.0
96,66195,0.35,-0.62,0.42,-121.71,38.11,33.54,1.0
